"Cities","lon","lat"
"Chicago, IL",-87.6297982,41.8781136
"Argonia, KS",-97.7656092,37.265854
"Saint Elmo, IL",-88.8537254,39.0262351
"Milwaukee, WI",-87.9064736,43.0389025
"New Orleans, LA",-90.0715323,29.9510658
"Cottonwood Heights, UT",-111.8162931,40.6183158
"Pennsville, NJ",-75.4984978,39.6284514
"Mulberry, AR",-94.0515919,35.5006417
"Woodbury, GA",-84.5827031,32.9837394
"King of Prussia, PA",-75.3835525,40.1012856
"Memphis, TN",-90.0489801,35.1495343
"Longview, WA",-122.9381672,46.1381676
"Peachtree City, GA",-84.5963432,33.3968557
"Denver, CO",-104.990251,39.7392358
"San Juan, PR",-66.1057355,18.4655394
"Atlanta, GA",-84.3879824,33.7489954
"Crestview, FL",-86.5727995,30.7541808
"Mankato, MN",-93.9993996,44.1635775
"Palm Desert, CA",-116.3744556,33.7222445
"Rising Sun, MD",-76.0627266,39.6978871
"Conyers, GA",-84.0176904,33.6676103
"Freedom, OK",-99.1128789,36.7689204
"Fort Lauderdale, FL",-80.1373174,26.1224386
"Moline, IL",-90.5151342,41.5067003
"Bel Air, MD",-76.3482931,39.5359406
"Cincinnati, OH",-84.5120196,39.1031182
"Berwyn, IL",-87.7936685,41.8505874
"Fairfax, SC",-81.236495,32.9590482
"Horsham, PA",-75.1285061,40.1784422
"Sterling, VA",-77.4291298,39.0066993
"Boise, ID",-116.2023137,43.6150186
"El Reno, OK",-97.9550493,35.5322741
"West Chicago, IL",-88.2039607,41.8847507
"The Woodlands, TX",-95.4612625,30.1658207
"Graceville, FL",-85.5165993,30.9568503
"Edinburg, TX",-98.1633432,26.3017374
"Bridgeport, CT",-73.1894384,41.1792258
"Phoenix, AZ",-112.0740373,33.4483771
"Parsons, TN",-88.1267024,35.6497909
"Wausau, WI",-89.6301221,44.9591352
"Fort Myers, FL",-81.8723084,26.640628
"Sevierville, TN",-83.561835,35.8681455
"North Las Vegas, NV",-115.1175013,36.1988592
"Kenosha, WI",-87.8211854,42.5847425
"Scottsdale, AZ",-111.9260519,33.4941704
"Valdosta, GA",-83.2784851,30.8327022
"Asheville, NC",-82.5514869,35.5950581
"Douglasville, GA",-84.7477136,33.7514966
"Lenoir, NC",-81.5389849,35.9140196
"Marianna, FL",-85.2268735,30.7743596
"Orange Park, FL",-81.706484,30.1660736
"Lexington, KY",-84.5037164,38.0405837
"Gold Canyon, AZ",-111.4500302,33.3593407
"LaGrange, GA",-85.0322444,33.0362218
"Andover, MN",-93.2913405,45.2332984
"University Place, WA",-122.5504041,47.2356536
"Sunrise Beach, MO",-92.7843553,38.1758645
"Braselton, GA",-83.7626729,34.1092735
"Princeton, IL",-89.4648145,41.3680919
"Lutz, FL",-82.4614831,28.1511243
"Berwyn, PA",-75.4395931,40.045824
"Sedalia, MO",-93.2282613,38.7044609
"Tamarac, FL",-80.2497707,26.2128609
"Destin, FL",-86.4957833,30.3935337
"Crete, IL",-87.6314312,41.4444791
"St. Louis, MO",-90.1994042,38.6270025
"Bloomington, MN",-93.2982799,44.840798
"Waukegan, IL",-87.8447938,42.3636331
"Jasper, GA",-84.4289888,34.4695524
"Leawood, KS",-94.6169012,38.966673
"Woodstock, GA",-84.5193754,34.1014873
"Buford, GA",-84.0043513,34.1206564
"Naples, FL",-81.7948103,26.1420358
"Glasgow, MO",-92.8465757,39.2272513
"Ailey, GA",-82.5656886,32.1874042
"Lynchburg, TN",-86.3740205,35.2830242
"Marietta, GA",-84.5499327,33.952602
"Palatka, FL",-81.6375819,29.6485801
"Whiteville, NC",-78.7030721,34.3387802
"Shabbona, IL",-88.8770311,41.7680851
"Charleston, SC",-79.9310512,32.7764749
"Kingfisher, OK",-97.9317203,35.861432
"Sylacauga, AL",-86.2516406,33.1731716
"North Lauderdale, FL",-80.2258811,26.217305
"Pawleys Island, SC",-79.1214313,33.4332236
"Maple Grove, MN",-93.4557877,45.0724642
"Gaithersburg, MD",-77.2013705,39.1434406
"Cambridge, MD",-76.0788292,38.5631744
"Fort Lee, NJ",-73.9701381,40.8509333
